[['E', 'V', 'A', 'N', 'S'], ['S', '.', 'O', 'N', 'C'], ['C', 'A', 'N', 'E', 'E'], ['H', 'E', 'I', '.', 'M'], ['E', 'R', 'E', 'D', 'E']]
[['H', 'W', '.', '.', 'U', 'S', 'C'], ['A', '.', 'B', 'A', 'N', 'C', 'O'], ['R', 'E', 'A', 'L', 'G', 'A', 'R'], ['V', 'O', 'L', 'I', 'E', 'R', 'E'], ['A', 'L', 'L', 'E', 'R', 'T', 'A'], ['R', 'I', 'O', 'N', 'E', '.', 'N'], ['D', 'A', 'N', '.', '.', 'A', 'A']]
[['.', 'A', 'S', 'H', 'R', 'A', 'M'], ['A', 'N', 'T', 'E', 'N', 'N', 'A'], ['C', 'T', 'A', '.', '.', 'N', 'Y'], ['R', 'I', 'M', 'B', 'A', 'U', 'D'], ['O', 'B', '.', '.', 'M', 'I', 'A'], ['M', 'E', 'R', 'C', 'U', 'R', 'Y'], ['I', 'S', 'S', 'A', 'R', 'E', '.']]
[['R', 'H', '.', 'A', 'P', 'I', 'A'], ['J', 'U', 'T', 'L', 'A', 'N', 'D'], ['.', 'S', 'O', 'C', '.', 'A', 'U'], ['A', 'S', 'C', 'E', 'L', 'L', 'A'], ['R', 'E', '.', 'S', 'A', 'A', '.'], ['C', 'I', 'S', 'T', 'I', 'T', 'E'], ['O', 'N', 'C', 'E', '.', 'O', 'P']]
[['E', 'C', 'C', 'E', 'L', 'S', 'A'], ['V', '.', '.', 'F', 'A', 'T', 'O'], ['A', '.', 'T', 'I', 'M', 'O', 'R'], ['S', 'T', 'R', 'A', 'P', 'P', 'I'], ['O', 'R', 'A', 'L', 'I', '.', 'S'], ['R', 'E', 'N', 'T', '.', '.', 'T'], ['E', 'U', 'S', 'E', 'B', 'I', 'O']]
[['C', 'C', 'P', '.', 'P', 'I', 'E'], ['R', 'I', 'A', '.', 'R', 'A', 'M'], ['I', 'S', 'S', 'U', 'E', '.', 'P'], ['C', 'A', 'T', 'T', 'A', 'N', 'I'], ['K', '.', 'E', 'U', 'L', 'E', 'R'], ['E', 'A', 'U', '.', 'P', 'R', 'E'], ['T', 'F', 'R', '.', 'I', 'D', 'O']]
[['M', 'A', 'L', 'W', 'A', 'R', 'E'], ['.', 'B', 'U', 'Y', '.', 'I', '.'], ['S', 'I', 'N', 'O', 'S', 'S', 'I'], ['G', 'L', 'A', 'M', 'O', 'U', 'R'], ['B', 'I', 'R', 'I', 'L', 'L', 'O'], ['.', 'T', '.', 'N', 'E', 'T', '.'], ['T', 'A', 'N', 'G', 'R', 'A', 'M']]
[['P', 'F', 'M', '.', 'S', 'V', 'P'], ['R', 'A', 'E', 'L', 'I', '.', 'A'], ['E', '.', 'L', 'A', 'M', 'A', 'S'], ['S', 'G', 'O', 'M', 'B', 'R', 'I'], ['A', 'D', 'D', 'I', 'O', '.', 'F'], ['G', '.', 'I', 'A', 'L', 'E', 'A'], ['A', 'H', 'A', '.', 'O', 'V', 'E']]
[['A', 'R', 'A', 'B', 'I', 'A', '.'], ['A', 'U', 'S', 'O', 'N', 'I', 'A'], ['A', 'D', 'I', 'O', 'S', '.', 'X'], ['.', 'I', 'N', 'T', 'E', 'L', '.'], ['H', '.', 'A', 'L', 'G', 'O', 'L'], ['F', 'O', 'R', 'E', 'N', 'S', 'E'], ['.', 'Z', 'A', 'G', 'A', 'T', 'O']]
[['N', 'E', 'U', 'M', 'A', '.', 'P'], ['B', 'K', '.', 'A', 'L', 'A', 'S'], ['A', 'B', 'A', 'R', 'I', 'C', 'O'], ['.', 'E', 'D', 'I', 'T', 'A', '.'], ['P', 'R', 'A', 'L', 'I', 'N', 'E'], ['I', 'G', 'G', 'Y', '.', 'T', 'P'], ['I', '.', 'I', 'N', 'U', 'I', 'T']]
[['Q', 'H', '.', 'P', 'E', 'S', 'C'], ['U', '.', 'D', '.', 'V', 'A', 'R'], ['A', 'D', 'E', 'R', 'I', 'R', 'E'], ['L', 'O', 'S', 'A', 'N', 'N', 'A'], ['C', 'L', 'I', 'N', 'T', 'O', 'N'], ['H', 'C', 'G', '.', 'E', '.', 'Z'], ['E', 'I', 'N', 'S', '.', 'K', 'A']]
[['T', 'A', 'N', 'G', '.', 'N', 'E'], ['.', 'M', 'I', 'H', 'R', 'A', 'B'], ['F', 'A', 'N', '.', 'A', 'R', 'R'], ['E', 'T', 'I', 'L', 'I', 'C', 'O'], ['V', 'O', 'V', '.', 'P', 'I', 'N'], ['E', 'R', 'E', 'B', 'U', 'S', '.'], ['R', 'I', '.', 'C', 'R', 'I', 'A']]
[['A', 'M', 'A', 'D', 'E', 'U', 'S'], ['B', 'U', 'R', 'E', '.', '.', 'Q'], ['A', 'G', 'A', 'T', 'H', 'A', '.'], ['R', 'I', 'T', 'R', 'O', 'S', 'A'], ['.', 'C', 'O', 'O', 'R', 'T', 'E'], ['R', '.', '.', 'I', 'S', 'E', 'R'], ['Q', 'U', 'A', 'T', 'T', 'R', 'O']]
[['B', 'A', 'H', 'A', 'M', 'A', 'S'], ['.', 'B', 'A', 'B', 'E', 'L', 'E'], ['L', 'O', 'R', 'I', 'S', '.', 'T'], ['I', '.', 'D', 'G', 'S', '.', 'T'], ['N', '.', 'T', 'A', 'I', 'D', 'E'], ['E', 'R', 'O', 'I', 'C', 'I', '.'], ['E', 'S', 'P', 'L', 'O', 'S', 'O']]
[['C', 'A', 'S', 'E', 'R', 'M', 'A'], ['A', 'G', 'I', 'S', '.', 'K', 'P'], ['M', 'I', 'L', 'F', '.', '.', 'P'], ['P', 'O', 'T', 'A', 'S', 'S', 'A'], ['A', '.', '.', 'H', 'A', 'I', 'R'], ['R', 'N', '.', 'A', 'I', 'A', 'S'], ['E', 'C', 'O', 'N', 'O', 'M', 'A']]
[['B', 'A', 'R', 'U', 'F', 'F', 'A'], ['E', 'M', 'I', 'R', '.', 'A', 'M'], ['M', 'I', 'D', 'T', 'E', 'R', 'M'], ['B', '.', '.', 'A', '.', '.', 'E'], ['E', 'V', 'E', 'R', 'T', 'O', 'N'], ['R', 'A', '.', 'S', 'C', 'U', 'D'], ['G', 'E', 'N', 'I', 'E', 'R', 'E']]
[['I', '.', 'I', 'N', 'E', 'S', '.'], ['N', 'E', 'P', 'E', 'N', 'T', 'E'], ['V', 'G', '.', 'W', 'E', 'A', 'R'], ['A', 'U', 'S', 'P', 'I', 'C', 'I'], ['S', 'A', 'T', 'O', '.', 'C', 'N'], ['A', 'L', 'A', 'R', 'C', 'O', 'N'], ['.', 'E', 'N', 'T', 'I', '.', 'I']]
[['.', 'B', '.', 'D', 'O', 'D', 'I'], ['P', 'O', 'K', 'E', 'M', 'O', 'N'], ['O', 'R', 'E', 'F', 'I', 'C', 'E'], ['E', 'M', '.', 'I', '.', 'E', 'D'], ['S', 'A', 'C', 'C', 'O', 'N', 'I'], ['I', 'N', 'T', 'I', 'N', 'T', 'A'], ['A', 'N', 'E', 'T', '.', 'E', '.']]
[['S', 'P', 'O', 'S', 'I', 'N', 'E'], ['E', 'I', 'D', 'E', 'R', '.', 'D'], ['U', 'Q', '.', 'R', 'T', 'I', '.'], ['L', 'U', 'B', 'R', 'A', 'N', 'O'], ['.', 'E', 'L', 'A', '.', 'D', 'B'], ['I', '.', 'U', 'T', 'E', 'R', 'O'], ['L', 'O', 'R', 'E', 'L', 'E', 'I']]
[['A', 'G', 'I', 'R', 'A', '.', 'I'], ['M', 'U', 'S', 'I', 'C', 'A', 'L'], ['I', 'S', 'A', 'B', 'E', 'L', '.'], ['D', '.', 'B', 'A', 'R', '.', 'M'], ['.', 'V', 'E', 'L', 'A', 'T', 'O'], ['H', 'O', 'L', 'D', 'I', 'N', 'G'], ['O', '.', 'A', 'I', 'A', 'C', 'E']]
[['A', 'R', 'I', 'O', '.', 'E', 'O'], ['L', 'I', 'R', 'I', 'S', 'M', 'O'], ['E', 'D', 'O', '.', 'I', 'S', 'T'], ['R', '.', 'N', 'E', 'D', '.', 'E'], ['A', 'R', 'I', '.', 'N', 'S', 'C'], ['M', 'A', 'C', 'B', 'E', 'T', 'H'], ['O', 'P', '.', 'L', 'Y', 'N', 'E']]
[['A', 'S', 'C', 'I', 'S', 'C', '.'], ['.', 'C', 'O', 'C', 'L', 'E', 'A'], ['S', 'I', 'M', 'E', 'O', 'N', 'I'], ['T', 'O', 'P', '.', 'G', 'T', 'S'], ['A', 'L', 'I', 'N', 'A', 'R', 'I'], ['I', 'T', 'T', 'I', 'T', 'A', '.'], ['.', 'A', 'I', 'R', 'O', 'L', 'O']]
[['Q', 'U', 'E', 'S', 'T', 'U', 'E'], ['E', 'S', 'T', 'O', 'R', 'T', 'I'], ['.', 'O', 'R', 'L', 'A', 'R', 'E'], ['.', '.', 'U', 'I', 'D', '.', '.'], ['C', 'E', 'R', 'N', 'I', 'E', '.'], ['A', 'P', 'I', 'A', 'R', 'I', 'O'], ['S', 'T', 'A', 'S', 'E', 'R', 'A']]
[['.', 'S', 'E', 'P', 'A', 'L', 'I'], ['L', 'T', 'T', '.', 'T', 'O', 'D'], ['A', 'I', 'L', 'A', 'N', 'T', 'I'], ['K', 'L', '.', 'U', '.', 'T', 'O'], ['E', 'A', 'S', 'T', 'H', 'A', 'M'], ['R', 'T', 'L', '.', 'A', 'R', 'A'], ['S', 'E', 'M', 'I', 'T', 'E', '.']]
[['F', 'A', 'O', '.', 'A', 'N', 'S'], ['A', 'Z', 'Z', 'E', '.', 'U', 'P'], ['L', 'Z', '.', 'T', 'R', 'O', 'O'], ['C', 'O', 'N', 'N', 'O', 'R', 'S'], ['A', 'R', 'C', 'E', '.', 'E', 'A'], ['T', 'R', '.', 'E', 'A', 'S', 'T'], ['A', 'E', 'C', '.', 'L', 'I', 'E']]
[['.', 'P', 'O', 'C', '.', 'N', 'E'], ['C', 'A', 'B', 'A', 'R', 'E', 'T'], ['.', 'S', 'E', 'N', 'I', 'O', 'R'], ['T', 'I', 'R', 'A', 'N', 'N', 'I'], ['A', 'F', 'O', 'N', 'I', 'A', '.'], ['N', 'A', 'N', 'E', 'T', 'T', 'I'], ['O', 'E', '.', 'I', 'E', 'O', '.']]
[['Y', 'E', '.', 'S', 'P', 'E', 'C'], ['A', 'L', 'I', 'C', 'E', '.', 'A'], ['N', 'I', 'C', 'O', 'L', 'A', 'S'], ['K', 'C', '.', 'O', '.', 'C', 'O'], ['E', 'A', 'S', 'T', 'H', 'A', 'M'], ['E', '.', 'P', 'E', 'Z', 'Z', 'A'], ['S', 'A', 'D', 'R', '.', 'I', 'I']]
[['M', 'M', 'S', '.', 'T', 'S', 'H'], ['C', 'A', 'C', 'A', 'T', 'O', 'A'], ['E', 'R', 'I', 'S', '.', 'P', 'M'], ['.', 'M', 'O', 'S', 'E', 'R', '.'], ['A', 'O', '.', 'A', 'X', 'U', 'M'], ['C', 'R', 'E', 'M', 'I', 'S', 'I'], ['F', 'E', 'D', '.', 'T', 'I', 'A']]
[['E', 'S', 'P', 'O', 'R', 'R', 'E'], ['T', '.', 'C', 'R', 'U', '.', 'N'], ['E', 'D', 'M', 'O', 'N', 'D', 'O'], ['O', 'T', '.', 'B', '.', 'E', 'T'], ['C', 'R', 'U', 'I', 'S', 'E', 'R'], ['L', '.', 'M', 'C', 'A', '.', 'I'], ['E', 'G', 'O', 'I', 'S', 'T', 'A']]
[['G', 'A', 'T', 'T', 'I', 'C', 'E'], ['I', 'N', 'R', '.', 'C', 'O', 'T'], ['O', 'D', 'E', 'R', '.', 'N', '.'], ['I', 'R', 'E', 'L', 'A', 'N', 'D'], ['.', 'E', '.', 'S', 'T', 'O', 'A'], ['T', 'W', 'O', '.', 'A', 'R', 'C'], ['E', 'S', 'B', 'O', 'R', 'S', 'O']]
[['.', 'C', 'A', 'I', 'N', 'C', 'A'], ['G', 'O', 'N', 'F', 'I', 'O', '.'], ['O', 'R', 'C', '.', 'N', 'R', 'O'], ['R', 'I', 'H', 'A', 'N', 'N', 'A'], ['I', 'F', 'I', '.', 'A', 'A', 'S'], ['.', 'E', 'S', 'A', 'T', 'T', 'I'], ['P', 'O', 'E', 'S', 'I', 'E', '.']]
[['C', 'I', 'C', 'O', 'R', 'I', 'A'], ['.', 'R', 'E', 'N', 'O', 'I', 'R'], ['M', 'A', 'R', '.', 'B', '.', 'T'], ['A', 'P', 'U', 'L', 'E', 'I', 'O'], ['N', '.', 'L', '.', 'R', 'S', 'M'], ['A', 'G', 'E', 'N', 'T', 'E', '.'], ['T', 'W', 'I', 'N', 'S', 'E', 'T']]
[['A', 'P', 'M', '.', 'H', 'A', 'M'], ['B', 'R', 'I', 'N', 'A', 'T', 'E'], ['B', 'E', 'Z', 'O', 'S', '.', 'I'], ['.', 'G', 'O', 'T', 'H', 'A', '.'], ['I', '.', 'R', 'E', 'T', 'T', 'A'], ['S', 'V', 'A', 'S', 'A', 'R', 'E'], ['I', 'B', 'M', '.', 'G', 'O', 'A']]
[['F', 'R', 'I', 'S', 'B', 'E', 'E'], ['L', 'I', 'N', 'C', 'O', 'L', 'N'], ['.', '.', 'D', 'U', '.', 'C', 'O'], ['U', 'L', 'Y', 'S', 'S', 'E', 'S'], ['B', 'I', '.', 'A', 'C', '.', '.'], ['E', 'S', 'T', 'R', 'U', 'S', 'O'], ['R', 'I', 'M', 'E', 'D', 'I', 'O']]
[['C', 'S', 'I', '.', 'A', 'C', 'A'], ['D', 'O', 'S', 'I', '.', 'H', 'T'], ['F', 'R', 'A', 'N', 'C', 'I', 'S'], ['.', 'R', 'A', 'I', 'O', 'N', '.'], ['M', 'A', 'C', 'G', 'R', 'A', 'W'], ['L', 'S', '.', 'O', 'T', 'T', 'A'], ['I', 'O', 'M', '.', 'E', 'O', 'R']]
[['I', 'J', '.', 'B', 'O', 'A', 'C'], ['N', 'O', 'R', 'I', '.', 'R', 'R'], ['S', 'N', 'I', 'D', 'A', 'R', 'E'], ['I', '.', 'O', 'E', 'D', '.', 'S'], ['G', 'A', 'S', 'L', 'I', 'N', 'I'], ['N', 'B', '.', 'L', 'C', 'D', 'M'], ['I', 'E', 'L', 'O', '.', 'A', 'A']]
[['A', 'U', '.', 'S', 'T', 'E', 'T'], ['P', 'S', 'I', 'C', 'O', 'S', 'I'], ['A', 'C', 'R', 'I', '.', 'A', 'M'], ['C', 'E', 'R', '.', 'B', 'P', 'O'], ['H', 'N', '.', 'F', 'O', 'O', 'T'], ['E', 'T', 'M', 'O', 'I', 'D', 'E'], ['S', 'E', 'A', 'N', '.', 'I', 'O']]
[['I', 'A', 'T', 'O', '.', 'V', 'H'], ['N', 'B', 'A', '.', 'L', 'E', 'U'], ['T', 'O', 'P', 'L', 'E', 'S', 'S'], ['O', 'M', '.', 'A', '.', 'S', 'S'], ['P', 'A', 'S', 'I', 'F', 'A', 'E'], ['P', 'S', 'C', '.', 'O', 'T', 'I'], ['I', 'O', '.', 'A', 'N', 'O', 'N']]
[['.', 'O', 'G', 'N', 'O', 'R', 'A'], ['.', 'G', 'L', 'O', 'C', 'A', 'L'], ['M', '.', 'A', 'V', 'U', 'T', 'O'], ['A', 'B', 'S', 'A', 'L', 'O', 'N'], ['R', 'O', 'G', 'N', 'A', '.', 'E'], ['C', 'R', 'O', 'T', 'T', 'A', '.'], ['H', 'A', 'W', 'A', 'I', 'I', '.']]
[['M', '.', 'C', 'E', 'D', 'R', 'I'], ['O', 'K', '.', 'R', 'R', '.', 'S'], ['R', 'A', 'M', 'E', 'O', 'S', 'O'], ['E', 'R', 'E', 'T', 'I', 'C', 'I'], ['S', 'T', 'A', 'R', 'T', 'U', 'P'], ['C', '.', 'T', 'I', '.', 'D', 'S'], ['A', 'R', 'I', 'A', 'L', '.', 'A']]
[['A', 'Q', 'U', 'A', 'G', 'Y', 'M'], ['E', 'T', 'T', 'O', 'R', 'E', '.'], ['R', '.', 'E', 'S', 'I', 'N', 'O'], ['E', '.', 'R', 'T', 'S', '.', 'S'], ['A', 'L', 'I', 'A', 'S', '.', 'C'], ['.', 'A', 'N', 'N', 'O', 'S', 'A'], ['S', 'T', 'E', 'A', 'M', 'E', 'R']]
[['O', 'P', 'P', 'O', 'S', 'T', 'E'], ['.', 'R', 'I', 'M', 'A', 'R', 'I'], ['P', 'O', 'T', 'O', 'M', 'A', 'C'], ['.', 'F', 'B', '.', 'O', 'I', '.'], ['C', 'A', 'U', 'S', 'A', 'L', 'E'], ['O', 'N', 'L', 'I', 'N', 'E', '.'], ['T', 'A', 'L', 'L', 'I', 'R', 'E']]
[['C', 'E', 'S', 'S', 'A', 'T', 'I'], ['H', 'O', 'R', 'A', 'T', 'I', 'O'], ['A', 'S', 'I', 'N', 'A', '.', 'L'], ['B', '.', '.', 'D', '.', '.', 'A'], ['L', '.', 'H', 'A', 'G', 'E', 'N'], ['I', 'R', 'E', 'L', 'A', 'N', 'D'], ['S', 'B', 'R', 'O', 'N', 'Z', 'A']]
[['L', 'E', 'O', 'P', 'O', 'L', 'D'], ['I', '.', 'L', '.', 'B', 'E', 'Y'], ['G', 'R', 'E', 'M', 'L', 'I', 'N'], ['A', '.', 'A', 'B', 'U', '.', 'A'], ['B', 'A', 'R', 'E', 'N', 'T', 'S'], ['U', 'D', 'I', '.', 'G', '.', 'T'], ['E', 'C', 'O', 'N', 'O', 'M', 'Y']]
[['.', 'R', 'E', 'G', 'G', 'A', 'E'], ['V', 'E', 'G', 'A', '.', 'B', 'X'], ['I', 'D', 'E', 'M', '.', 'I', 'P'], ['A', 'D', 'I', 'B', 'I', 'T', 'O'], ['G', 'I', '.', 'E', 'M', 'I', 'R'], ['R', 'T', '.', 'R', 'E', 'N', 'T'], ['A', 'O', 'M', 'O', 'R', 'I', '.']]
[['S', 'C', 'R', 'O', 'C', 'C', 'O'], ['.', 'H', 'A', 'S', 'S', 'A', 'N'], ['K', 'A', 'N', 'S', 'A', 'S', '.'], ['D', 'P', 'C', '.', 'R', 'E', 'E'], ['.', 'L', 'O', 'N', 'D', 'R', 'A'], ['M', 'I', 'R', 'I', 'A', 'M', '.'], ['K', 'N', 'E', 'S', 'S', 'E', 'T']]
[['O', 'P', 'T', 'A', 'T', 'O', '.'], ['M', 'I', 'E', 'L', 'A', 'T', 'A'], ['A', 'N', 'T', 'A', 'R', '.', '.'], ['R', 'I', 'T', 'R', 'O', 'S', 'A'], ['.', '.', 'O', 'C', 'C', 'A', 'M'], ['S', 'C', 'I', 'O', 'C', 'C', 'O'], ['.', 'R', 'E', 'N', 'O', 'I', 'R']]
[['E', 'U', '.', '.', 'T', 'C', 'S'], ['R', 'E', 'S', 'P', 'I', 'R', 'I'], ['I', 'M', 'M', 'O', 'N', 'D', 'E'], ['S', '.', 'A', 'N', 'D', '.', 'R'], ['I', 'M', 'I', 'T', 'A', 'T', 'O'], ['M', 'A', 'L', 'O', 'L', 'O', 'S'], ['O', 'S', 'A', '.', '.', 'S', 'O']]
[['A', 'S', 'S', 'E', 'T', 'T', 'O'], ['B', 'L', 'O', 'G', 'G', 'E', 'R'], ['U', 'Y', '.', 'O', 'A', 'K', 'S'], ['S', '.', '.', 'I', '.', '.', 'E'], ['I', 'S', 'I', 'S', '.', 'T', 'T'], ['V', 'E', 'R', 'M', 'O', 'N', 'T'], ['I', 'N', 'C', 'I', 'U', 'C', 'I']]
[['U', 'T', '.', 'E', 'P', 'O', 'S'], ['T', 'Z', 'I', 'G', 'A', 'N', 'I'], ['O', '.', 'O', 'R', 'G', '.', 'D'], ['P', 'I', 'N', 'E', 'A', 'L', 'E'], ['I', '.', 'O', 'T', 'T', '.', 'C'], ['C', 'I', 'N', 'T', 'O', 'L', 'A'], ['A', 'T', 'E', 'A', '.', 'O', 'R']]
[['P', 'A', 'Y', '.', 'D', 'S', 'E'], ['A', 'V', 'I', 'S', 'I', 'O', '.'], ['D', 'A', 'N', 'C', 'I', 'N', 'G'], ['R', 'T', '.', 'O', '.', 'E', 'R'], ['I', 'A', 'T', 'T', 'U', 'R', 'E'], ['.', 'R', 'O', 'T', 'A', 'I', 'E'], ['Z', 'A', 'P', '.', 'R', 'A', 'N']]
[['C', 'A', 'S', 'C', 'A', 'M', 'E'], ['A', '.', 'G', 'A', 'L', 'O', 'P'], ['L', 'O', 'R', 'D', 'O', 'S', 'I'], ['Y', 'L', '.', '.', '.', 'E', 'F'], ['P', 'I', 'A', 'N', 'A', 'L', 'I'], ['S', 'V', 'A', 'G', 'O', '.', 'T'], ['O', 'O', 'S', 'F', 'E', 'R', 'A']]
[['T', 'O', 'K', 'E', 'L', 'A', 'U'], ['O', 'V', 'I', 'N', 'O', '.', 'S'], ['D', 'A', 'E', 'T', '.', 'K', 'R'], ['.', 'I', 'V', 'O', 'R', 'Y', '.'], ['D', 'O', '.', 'Z', 'O', 'O', 'M'], ['I', '.', 'B', 'O', 'O', 'T', 'E'], ['O', 'R', 'D', 'I', 'T', 'O', 'I']]
[['L', 'E', 'C', 'C', 'E', 'S', 'I'], ['I', 'X', '.', 'A', '.', 'C', 'N'], ['S', 'P', 'O', 'R', 'C', 'H', 'E'], ['B', 'L', '.', 'A', '.', 'E', 'V'], ['O', 'O', 'S', 'F', 'E', 'R', 'A'], ['N', 'I', '.', 'F', '.', 'Z', 'S'], ['A', 'T', 'R', 'E', 'S', 'I', 'A']]
[['M', 'R', 'I', '.', 'D', 'A', 'C'], ['T', 'I', 'A', 'R', 'E', '.', 'M'], ['.', 'A', 'T', 'E', 'R', 'N', 'O'], ['A', 'N', 'T', 'A', 'R', 'E', 'S'], ['M', 'O', 'U', 'L', 'I', 'N', '.'], ['B', '.', 'R', 'E', 'C', 'I', 'T'], ['E', 'S', 'A', '.', 'K', 'E', 'Y']]
[['L', 'E', 'E', 'D', 'S', '.', '.'], ['I', '.', 'M', 'A', 'T', 'S', '.'], ['S', 'C', 'E', 'M', 'A', 'T', 'I'], ['C', 'O', 'R', 'O', 'N', 'E', 'R'], ['I', 'R', 'I', 'D', 'A', 'T', 'A'], ['.', 'A', 'T', 'A', 'R', '.', 'D'], ['.', '.', 'I', 'R', 'E', 'N', 'E']]
[['.', 'S', 'C', 'O', 'O', 'P', '.'], ['T', 'I', 'A', '.', 'M', 'I', 'P'], ['R', 'E', 'T', 'T', 'I', 'L', 'I'], ['E', 'M', 'E', 'R', 'S', 'O', 'N'], ['V', 'E', 'R', 'I', 'S', 'T', 'I'], ['I', 'N', 'V', '.', 'I', 'T', 'N'], ['.', 'S', 'A', 'L', 'S', 'O', '.']]
[['W', 'A', 'T', 'T', 'E', 'A', 'U'], ['E', 'P', 'A', '.', 'V', 'N', '.'], ['B', 'O', 'U', 'T', 'A', 'D', 'E'], ['E', 'C', '.', 'O', '.', 'R', 'M'], ['R', 'O', 'B', 'O', 'C', 'O', 'P'], ['.', 'P', 'B', '.', 'A', 'N', 'I'], ['N', 'I', 'C', 'O', 'S', 'I', 'A']]
[['S', '.', 'F', 'L', 'A', 'S', 'H'], ['T', 'E', 'L', 'E', '.', 'N', 'I'], ['U', 'N', 'I', 'O', 'N', '.', 'D'], ['C', 'O', 'R', 'P', 'O', 'S', 'A'], ['C', '.', 'T', 'O', 'T', 'A', 'L'], ['H', 'O', '.', 'L', 'A', 'N', 'G'], ['I', 'R', 'I', 'D', 'I', '.', 'O']]
[['I', 'P', '.', 'O', 'M', 'S', 'K'], ['F', 'O', 'N', 'D', 'U', 'T', 'A'], ['.', 'D', 'I', 'O', 'N', 'E', '.'], ['S', 'A', 'C', 'R', 'A', 'R', 'I'], ['.', 'G', 'H', 'I', 'R', 'I', '.'], ['A', 'R', 'E', 'N', 'I', 'L', 'I'], ['P', 'A', 'L', 'O', '.', 'E', 'E']]
[['A', 'N', 'A', 'C', 'I', 'N', 'I'], ['T', '.', 'M', 'A', 'N', 'O', 'R'], ['U', 'B', 'A', 'C', '.', 'L', '.'], ['M', 'A', 'C', 'A', 'D', 'A', 'M'], ['.', 'T', '.', 'T', 'O', 'N', 'O'], ['V', 'E', 'R', 'O', 'N', '.', 'G'], ['E', 'S', 'P', 'A', 'N', 'S', 'E']]
[['O', 'S', 'S', 'E', 'O', '.', 'C'], ['R', 'T', 'F', '.', 'V', 'I', 'A'], ['N', 'E', 'U', 'M', 'A', '.', 'S'], ['E', 'T', 'M', 'O', 'I', 'D', 'E'], ['T', '.', 'A', 'V', 'O', 'R', 'I'], ['T', 'E', 'R', '.', 'L', 'I', 'N'], ['E', '.', 'E', 'L', 'E', 'N', 'A']]
[['I', 'R', 'I', 'A', 'R', 'T', 'E'], ['B', 'A', 'N', 'D', '.', '.', 'I'], ['M', 'A', 'T', 'R', 'I', 'C', 'E'], ['.', 'B', 'E', 'I', 'R', 'A', '.'], ['T', 'E', 'R', 'A', 'P', 'I', 'E'], ['O', '.', '.', 'N', 'E', 'R', 'O'], ['B', 'I', 'B', 'A', 'G', 'N', 'O']]
[['.', 'E', 'S', 'I', 'O', 'D', 'O'], ['W', '.', 'Q', 'N', '.', 'E', 'R'], ['I', 'N', 'U', 'T', 'I', 'L', 'E'], ['L', 'I', 'A', 'I', 'S', 'O', 'N'], ['D', 'O', 'W', 'N', 'I', 'N', 'G'], ['E', 'B', '.', 'T', 'D', '.', 'O'], ['R', 'E', 'N', 'I', 'E', 'R', '.']]
[['A', 'T', 'A', 'S', 'S', 'I', 'A'], ['P', 'A', 'R', 'A', 'C', 'E', 'L'], ['R', 'O', 'A', 'C', 'H', '.', 'A'], ['I', '.', 'N', '.', 'A', '.', 'M'], ['R', '.', 'C', 'A', 'P', 'U', 'A'], ['S', 'K', 'I', 'P', 'P', 'E', 'R'], ['I', 'S', 'O', 'M', 'E', 'R', 'O']]
[['Q', 'U', 'E', 'S', 'T', 'U', 'E'], ['L', 'I', 'Q', 'U', 'O', 'R', 'E'], ['.', 'S', '.', 'P', 'U', 'L', 'E'], ['.', 'T', 'E', 'R', 'R', 'A', '.'], ['L', 'I', 'R', 'E', '.', 'N', '.'], ['S', 'T', 'I', 'M', 'A', 'T', 'E'], ['C', 'I', 'C', 'A', 'L', 'I', 'I']]
[['C', 'C', 'I', '.', 'M', '.', 'C'], ['I', 'B', 'E', 'R', 'I', 'C', 'A'], ['M', '.', 'L', 'O', 'G', 'O', 'S'], ['I', 'S', 'L', 'A', 'N', 'D', 'A'], ['E', 'B', 'A', 'N', 'O', '.', 'D'], ['R', 'I', 'T', 'O', 'L', 'T', 'E'], ['I', '.', 'A', '.', 'O', 'R', 'I']]
[['R', 'O', 'N', 'D', 'E', 'A', 'U'], ['.', 'N', 'E', 'K', '.', 'N', 'G'], ['P', 'I', 'T', '.', 'T', 'A', 'G'], ['A', 'R', 'T', 'R', 'I', 'T', 'I'], ['R', 'I', 'I', '.', 'L', 'E', 'A'], ['M', 'C', '.', 'C', 'D', 'M', '.'], ['A', 'I', 'R', 'M', 'A', 'I', 'L']]
[['A', 'S', 'S', 'O', 'R', 'T', 'E'], ['P', 'E', 'P', 'P', 'O', 'N', 'E'], ['R', 'A', 'S', 'O', 'I', '.', 'E'], ['.', 'T', '.', 'S', '.', 'F', '.'], ['D', '.', 'I', 'S', 'A', 'I', 'A'], ['A', 'N', 'N', 'U', 'N', 'C', 'I'], ['C', 'R', 'O', 'M', 'A', 'T', 'O']]
[['C', 'H', 'E', 'A', 'P', '.', 'E'], ['H', 'A', 'R', 'D', 'T', 'O', 'P'], ['A', 'G', 'I', 'O', '.', 'W', 'S'], ['N', '.', 'E', 'R', 'A', '.', 'I'], ['T', 'E', '.', 'A', 'X', 'E', 'L'], ['A', 'S', 'T', 'R', 'U', 'S', 'O'], ['L', '.', 'L', 'E', 'M', 'O', 'N']]
